Wallet,TGE
0x62d3C2A80d3cCe916b9b645CbcDA14d35418275C,66666.67
0x9571F51b11f86d878d9d512228fe7b266E807432,66666.67
0xaC4109A00aF7d892bE8512E82a9C82CaE63DE88b,66666.67
0xf6FA757E180A1D1D47465063d5058b804c636721,66666.67
0xdE468fB631Fe1717E67F097a0E9dA69080B03a24,266666.67
0x51787a2C56d710c68140bdAdeFD3A98BfF96FeB4,166666.67
0xe2601273Be4c89A729a3fe0Af4BD6503BB20c27C,66666.67
0x72915ad3110Eb31768A562F540aC1ebcd51d3Dc8,66666.67
0x61E5a97Ae01297c36aa60146b0A92D701a19CA6F,33333.33
0x4c47FC9583A2cd55ecA27F566c02AdC282B2813b,41666.67
0x84B966BECF1c5c788b59Ce4Aa4Ab0F7a6e827Baa,41666.67
0xe4683f12Cb531C3A316ecC308EB8d10cE6C6Ebb4,23333.33
0xf56345338Cb4CddaF915ebeF3bfde63E70FE3053,50000.00
0xBCB4CF84255e342f733E5b3aA46868d679543776,66666.67
0x8dc7F2B4c1571d6A937507780EE90Ff1831818e5,8333.33
0x2711AA3c629Bf988e41A3AbE0c0a7e7230909766,33333.33
0x919C65EeC2E820Fa45F2FAd5CD5b98aC007b14f5,25000.00
0x0945E660677D092faDd30805aBF3D46D27130D07,50000.00
0x994833e478DF080969b9C14d99CA85312d25a7B9,70000.00
0x1866F577d7cAD99FAfA1478dE069bb59EACDF471,50000.00
0x2307c831231d4eC0E53B7b66a5FFd4071c847711,83333.33
0x62A72d38892628263f6589D97d948eF4d8c5092C,150000.00
0x8B5c756715a5F307b487a93cacBE08783b63cCDD,100000.00
0x47d278101ee9335c3a3baa14fe184f757229a7b8,125000.00
0x0f63ccca7421e831d220c2f01998a6818ccb2123,416666.67
0x163e10cccfbc559c7d28eecf0e27ef10888f6607,208333.33
0xBaDDe50ba5d864C11a313cE1545585DfAb5bc9E0,333333.33
0x54be3a794282c030b15e43ae2bb182e14c409c5e,500000.00
0x890d74A42cacD79500e831b4e225598E44fC0961,416666.67
0x899B767973bF3C431a1fD3681671e130010DE4f1,125000.00
0x2c5ea6eb54298666fec09596b25de96d41dc320d,81733.75
0x91f3acf393de794e7291fbf36dfc408da617cff0,90734.42
0xbdafd17fe7123e62fff1a66ae5b2690bf2b2e8cd,81730.83
0x5ac3d92730961b867c318053463f84c88a64bf7f,416666.67
0x8ee376de530fb9a734df676e7e4342b48355f483,163467.50
0xe4e02d601a8b12c61ce5f1a3751668336b629e1c,81733.75
0x9969dd4a32fc8d67cee84ac241806824528fb94b,163467.50
0x886478d3cf9581b624cb35b5446693fc8a58b787,81733.75
0x6ce4672c82db18a8341e9cb0a58fc13024b3249c,81733.75
0x5f91dddf5822a7ed3950f85b3259511161b4e970,49040.25
0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b,81733.75
0x26ea21c9c622f68547e2a4e8867a89b80c4c5de4,81733.75
0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,81733.75
0x5963e3481aad602a837f2b187aa2df97253da0fb,86835.83
0x333345727be2ec482baf99a25cb1765cb7b78de6,84548.75
0x5eb67a3b141f3036899ee77822a41277166c540e,171077.50
0xea94dace59ede50c55d53cc90c26d8ec4ff0b685,85538.75
0xC9c1E66e09556Efe4828a4e67A2aAE17e952abE8,83333.33
0xf1ea8cDFc35b66785Aba4B0756c4Be9c5205FF02,416666.67
0xf0D6999725115E3EAd3D927Eb3329D63AFAEC09b,416666.67
0xf1ed0d0d20fbcb21fd8d438ab971e1f1835ee3c2,81730.83
0xbe4be659acea0cc1aa37f64808d6bd20de538a72,49145.83
0xbaa3f3290f3cb2dbc18147109572df6d64b7d8e3,73537.50
0xc405aeba122cb755ef2f1d779c55f776ab3edd8e,86664.61
0x1a32B0Ec0896b290dc4FD9d6618b021837e048c9,46491.67
0x432b4463cA01274beE09128e130c9B04B1088E82,93875.00
0xBe347297A6462cF6d287042DB3c6777eAC7e0851,50000.00
0xD3cc4dA6fD9ec26974B09AB5e382C9dfc05B2270,33333.33
0xeecc2f53b467e964c18b1583786a74a8bc5ae335,333333.33
0xe5db01c9d588ede7c9939753fb877ebe296ba529,130769.33
0xe517f5274a21c74ae230d99010ad11992d0e836b,85003.10
0xd51fb02b6c5eb023290d60542cb4d7064dc240a8,130769.33
0xc52d3e0b6a1967033e54dd0284df5d2c51e12777,117696.60
0xc0aeb2d7720f4bfc6f6eb313d1380402f1703d56,65387.00
0xbeffddcf2e84106f77c2b60445dc257d65e19a26,163467.50
0xbb6f4cfc66356b64bb6b05ac5e36b1ff76471054,98080.50
0xb7e2f7243880295d4830bfb19fc4cb318031b851,65387.00
0xaffb01b1fa1ca1ac760582f1a39ae895158c137b,326935.00
0xafc068731db6f23f8c72872170c5100ee61b05ff,130774.00
0xa4976b875f5be5208314a518ed03d62411910938,130774.00
0xa478e7a8792b584845cfe27819761e16422154b4,130769.33
0x6b5b5c81998a772eedda52819ffaab8e4129a0fd,163461.67
0x51b916f41668a4a5df20d30222457ce1f489abce,105273.07
0x5004451e331fca06a5479c3e05a05b5e3f72ad17,163461.67
0x40aae0069fd25b731d38302a09c2657da2570968,81730.83
0x1a949fa46ed2c6d4875883ce14701576e98de708,65384.67
0x15bd815a3f6fb351b06df8b0b82e0be63a529270,65387.00
0x9569b43950833f36dcdc08a8eeedce8b3b9db36b,131977.33
0x2184f3c2806ba8b878f137a2cac0ab6da9609944,181468.83
0x72f711e517e8a7f67f6e44c1d5a19dbb31e96b53,308944.50
0x14e8cbc73119aa563e6cd151a3708e9077a34238,68654.33
0x0bb8c49b33c732657e9fa0f21118f2ddde1f3341,68654.33
0xde3975723d5de76070ca2169ab8716e48b3b4b81,68654.33
0x86a43fb2377b9535ab2868c25b6792ba0ac9594c,171635.83
0x6e723aac26d5c674e10096d708f7ff3edb18c56a,205963.00
0xdd624ca68246fe7c638e1ddb53db83ef28412efd,171635.83
0x913f12eb93d6d31a8a13c32001566164a9e83cc3,137308.67
0xac4109a00af7d892be8512e82a9c82cae63de88b,68654.33
0xe188842ae1aa9dc769e96b1b2c8034ced9a3171a,137308.67
0xb5537248672dc2bf6a25b3c22083fe8d214e172d,130769.33
0x78dacf90cfaa7b14e5f6560af7527a6bdae202ca,130769.33
0xa224c10b72d433a14e521dc3b895a6f2026a53e5,65384.67
0x56f70a0bbfefa9db41f024198c7185107f42bac2,163461.67
0xbd7fb29d5bab7cf2d9bfe5a3c46c47eaf176ab42,130769.33
0xbba34d0884db087a18a15b903f0a55738f0888c8,130769.33
0x73e4a2b60cf48e8baf2b777e175a5b1e4d0c2d8f,65384.67
0x296ef35aadee6f5cd0156549b673814fd27b7b77,98077.00
0x49a05d34d08d158a173a0e3df07f945c1daabc01,130769.33
0x2032b369e8e08a777860444a0faf2423361d7c13,130733.33
0x2032b369e8e08a777860444a0faf2423361d7c13,65384.67
0x341b32bf6ffb64551599a37905219e807d0fa590,65384.67
0xf48a2626a60f5e72a78e482f92b5ef2bed19fde1,65384.67
0xf1f440b8064d266c55ff1a2ba0a4c23f52850160,65384.67
0x552f01d67b352aaa38bc675e30ced97f2451df63,326923.33
0x888bb19484e896465dccbbe55138c284123291a1,163461.67
0x316f65d7e1e7ed70baf9f11d66b36cb97327daec,163461.67
0xf40fd88ac59a206d009a07f8c09828a01e2acc0d,65384.67
0x200424bd384bfb4120e991fe05981be39f3efe29,65384.67
0x39e50a16ef0ae50ab50c6d6472b52430dbfeb51a,75192.37
0x5ba9df9078daa33e0bd9012dad9ce5c8f89bb902,130769.33
0x6df39ead12a99be4eac32c506d2ebfb6bf1e3023,65384.67
0xd404e13cc1021e74616420bc35b8accbb0c8b268,238654.03
0x621dc1216803ffeafafc573af70a2b2048fb2ce7,65384.67
0x41d34eca9f14529c0ca08571107e8bae88bb3e2b,163461.67
0x8362c47ad7c521f73fe25970b25ca009da3e60e2,65384.67
0xd23a33c017871a69e4d3d65849d47da78715734b,163461.67
0x35ffc49e7fefc188dff81db3c717db098294bc23,65384.67
0x43d5ae611ae02084487c73de38b2f2053292a1e1,130769.33
0x244bb3910d13ab7c6a68ce36d05c156ff7e678af,130769.33
0x4c355a209bf8f329070b7307d80d133530e2f1fa,130769.33
0xd8aa1a0a09392d03c8829784075edc0dfd17771c,65384.67
0xe29208c8f768d3c99f362f3fad2c922158c8ca2d,65384.67
0xc33fcef624699f9a64ab62491613a969434af287,98080.50
0x4fa2f8b1a8f8114e48b0425b58b9a13da85b4b6e,163467.50
0xc2ffe33ba5fc0d88a1661306e9c1ac2288b2f658,65387.00
0x3b5f70238919bbbc45a8ee3984a6bac89121c492,65387.00
0x8455df572d01d1367dd63b9f008e20df4193c567,130774.00
0xed1a471f465044ebd197a5297d3a9477ee01248f,163467.50
0x3e6cacc6dcd5085c361123c255be8cfe9af76c74,65387.00
0x815fe5cc87ab58d9b7065a36a57332e3dc81ef30,65387.00
0x37900736d4baa4fc9930c1a89352391228628c64,65387.00
0xf6fe5b2b625a237b9fe1eef2bdbc156d4866e28d,65387.00
0x3c061e4f94f198c80a7a78b345c4a1d5450f9544,130774.00
0x5320f1fbf3a6a80b2cf27cfed1352525f90eab09,130774.00
0x2be2c0f632f69d3e5dadb32b4dec2689e1a77887,130774.00
0x7ef082b9a971f198f9dde7f3c331b16a43d76eff,130774.00
0x7d77995235d2447bd298df5f895b085dba29220e,137312.70
0x4d09967f09504fbc37fe0f536a8b2cf2393622da,65387.00
0x2576b0d768b6e727614c4062078ed7c34d8f1186,66040.87
0xa811c417506720d045523c76cbf448407301a595,65387.00
0x6F97b7De6Be7b7771e975E46Bae96C35E332e172,163467.50
0x6201dc07e00bfab08ce2fcb039741ac1c2c77e2e,98080.50
0x2ef1b2567aa33e1ba07f4fbd1a297223df28bafa,163467.50
0xd0850e24d4475be6f0776ea0d60175e8911af657,65387.00
0xec8e01e4a04fa1efee0ce32bb3100f8fb82e6026,65387.00
0x5aec2bdc0229f858a1aceee89dd545fff61a959a,65387.00
0xc68c7771ec6a6e5d67d62aa9c6f22df69865e401,65387.00
0xd1bdad9dc1631eb67d8d1134bb3673d6c7242e22,65387.00
0x1b5f5afce7eeac58553141311625e4f5ed8c72d2,65387.00
0xaeefb76459061d822ce944145e22d823cd7c02b9,98080.50
0xf74e2802f3b4f27b53c45f20d30dede9e873c223,65387.00
0xfed93f0ad93ff25993274d8245a2bb2133de38c0,130774.00
0x96e3baa591c9cf4d5f44dd44d02a3d4ce9290ac2,65387.00
0x3e06b157a7c6fdfaea072d54cd93307f48020cc4,65387.00
0x8b5c756715a5f307b487a93cacbe08783b63ccdd,65387.00
0x3e57efef507b4db7acfa2ee79ceca6b19e18d106,326935.00
0x9247c8f73bd93aaf14b614d2e9416e2eab6a9ab4,65387.00
0x1d79399c702976e0cc7a6159ca0bf9b35490898a,65387.00
0xaa37eb2841f4d1c4b283cc21800e2616d669b0b9,65387.00
0x1bb6dc39ebc757db05557d00b16c28a753a20558,78464.40
0x1a02a60113212dfac4f8b78849559e6fc3527464,65387.00
0x27d57cd15feb468471dbe57ab6288d73980f2d29,65387.00
0xaeaf3dd2ecb2152e19d1397df2732ecc92e10393,65387.00
0x3aa66d4597f98130c7a319024591762d772fdb33,163467.50
0x2ec7b0b01d7c72a31f3834fe4f208c4d04d1cdac,65387.00
0x3dbab061d40f0b2f8c7e3355be4165159bfbc3fa,65387.00
0x2e86c24ec294ff9e50440bd871f5308e35901779,65387.00
0x6963d1743a452fe1a082b76b1432037a12c2c742,65387.00
0xa7b5ca022774bd02842932e4358ddcbea0ccaade,65387.00
0xa85d278ebdc3d51dd8bfa6a0a6a5433a14565531,65387.00
0x57d4b4ba387f815467029851d9f1f751cedeec1a,65387.00
0x196f6f8d7982977818c5cb12d8487c7c647a6daf,65387.00
0xb3825c28ca0b31775a889251fc4fc07d719c532b,65387.00
0x0474950f828f8029b1f34ea16ef1e81e2ee2b74d,65387.00
0xfe59f409d7a05f8e24aa90626186cc820c8e3005,65387.00
0x42910a69effb47b8f8f2cb726fd964a654914131,163467.50
0x73d05c2ea70dfc3b220444c94567dbc84bb0d24c,65387.00
0x7f6d50b20f80b8b83be549c0bf035f83dd3c4cd2,65387.00
0xbd6b8d8fa94f7307840252548549b56a33c98054,163467.50
0xaa6b335b960ab5ad924760e66940e485f83d192e,65387.00
0x23d7c1b43c5fd19ddc3aabafb26b05db06538b42,65387.00
0x552a0a09e46daf0eb7f18eaea50120ed4eebbbd8,65387.00
0x680e8a5a1dc9499342a7bc0bfb3b99dff60ec1f9,65387.00
0x7ef597d10d6e128590e09455bdccd55553a3bbd4,65387.00
0xb81123539f87dbc3fa6b63486a41ad628f9d0fa5,130774.00
0xc5037734e8acd41a4db7a3a8fe8153b7ec920212,65387.00
0xf51040e6104a86ec66b0ece14e09de7d24a1ec2a,163467.50
0xbb1407f8da5df14020ffc56318d298dc3e8e36e0,65387.00
0x1af64d49346290f351d81163606398715ab47e0e,65387.00
0x43d4bdeeca8dd891e89ed80dac83b70bf2d1d753,65387.00
0x17e566d94b9e9471eaaa1fd48fed92666fe0e6c0,65387.00
0xd9d2f1310945badaad09163b669c908f75de299a,65387.00
0xccdedb5f3116084a58ffb29d5046188a0a1d896c,130774.00
0x1d824b5e0045c6de0ee327a83272fdf1041f4a50,65387.00
0xdec1206e3a7e7ed2dba7eed965d408886d54b5cd,163467.50
0xaed0f7c1be316d57cb517ab2af5fd902f5e67210,65387.00
0x55bdcdeca91119d94170b9216b57ce652cf001b1,65387.00
0x919c65eec2e820fa45f2fad5cd5b98ac007b14f5,219378.00
0x0bb414ea33ae116b65e7303fe1555a4bf5559e9b,191156.67
0x27aced470e1e232babf2da93a78269bb5739c48c,163467.50
0x04b7dd032ceb3ab2f84445e8b82a1e6a7174cb4f,163467.50
0x5d833cd9f606f59db470d67b7eb63a4958f2a382,196397.50
0xcdc46c30fea56a9fd03c2b51c6017c2b8bd41e65,196583.33
0x252019c2b80334ee0d04854e1cf01ec15f949b62,195094.17
0xcEd183f3eFe63C054f36BC2d701cFE4631e61f1A,151986.67
0xAA61A58830996a2b54902bAC0913641ccD362828,76462.00
0x72915ad3110Eb31768A562F540aC1ebcd51d3Dc8,74460.00
0x655348406993E18b662486aC66142837216A7d59,74316.67
0x3c687ddbe2860c92d1b934dfc1881de83ab08eeb,78037.67
0xd706509e6c56e07a9325d1dd59424e2f3416d023,78037.67
0x879c405922ffb8251bddf7df06e02a58b10837f3,74428.71
0x96461bfc931bc262135e569f3500c5ebe0374e57,74428.71
0x7848e1d2d6046c5e75a98268afbec4e0c5b2bbe0,74428.71
0x6c76f96cb0efae14df3bc1d1af9372e6cfac64e1,74428.71
0xaF03d3683628dC6619BccBb2b907ae85c6de75B9,75083.00
0x61e458356c8170688DE7B1eA229AFc6Ee7BA52B0,75100.00
0xFf07a37E84d9E25C4c799d0AAE79eEC636A0ecbD,92987.50